id	KSGS1	KSGS2	KSGS5	KSGS6	KSGS1_GB	KSGS2_GB	KSGS5_GB	KSGS6_GB	TR_young	TR_old	TR_young_log	TR_old_log
RP24-362F17.1	2	8	3	6	343	213	216	316	0.0179856115	0.0169172932	-1.7450747916	-1.7716691229
Gpr26	7	5	2	7	241	221	221	311	0.025974026	0.0169172932	-1.5854607295	-1.7716691229
Nfkbib	7	15	5	7	348	437	418	291	0.0280254777	0.0169252468	-1.5524469759	-1.7714649891
Mthfd1l	75	68	33	32	2141	1926	1722	2118	0.0351610524	0.0169270833	-1.4539381349	-1.7714178677
Rgsl1	7	5	7	8	561	353	374	512	0.0131291028	0.0169300226	-1.8817649497	-1.7713424628
8131442B15Rik	4	1	5	12	513	591	438	566	0.0045289855	0.0169322709	-2.3439990691	-1.7712847914
Slc18a2	8	9	11	8	485	546	565	557	0.0164888458	0.0169340463	-1.7828097439	-1.771239256
Tgm4	3	2	2	6	271	186	237	235	0.010940919	0.0169491525	-1.9609461957	-1.7708520116
Gm28675	4	1	2	3	159	113	132	163	0.0183823529	0.0169491525	-1.7355988997	-1.7708520116
Gm28168	6	1	1	2	114	63	84	93	0.0395480226	0.0169491525	-1.4028752263	-1.7708520116
Plppr3	8	9	23	7	685	737	1133	636	0.011954993	0.0169587337	-1.922450675	-1.7706065782
Lrrc74a	9	8	7	1	291	198	219	252	0.0347648262	0.016985138	-1.4588599377	-1.7699309201
Adcy8	18	11	32	23	1831	1326	1349	1889	0.009185936	0.0169857937	-2.036876584	-1.7699141549
Vmn2r119	1	1	2	3	178	91	117	177	0.0074349442	0.0170068027	-2.1287222843	-1.7693773261
Lipm	5	2	3	2	161	127	115	179	0.0243055556	0.0170068027	-1.6142944477	-1.7693773261
Atp1a4	8	6	1	9	286	253	242	346	0.025974026	0.0170068027	-1.5854607295	-1.7693773261
Cramp1l	37	66	16	29	1473	1669	1427	1218	0.0327816677	0.0170132325	-1.484368956	-1.7692131626
Lct	8	3	8	5	314	278	353	411	0.0185810811	0.0170157068	-1.7309290216	-1.7691500063
Tgm7	4	2	1	3	121	117	98	137	0.025210084	0.0170212766	-1.5984257067	-1.7690078709
